#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# Interpolated-NKPTS & NBANDS:  231424
# Band-Index    1
   0.50618    -26.286948    -26.292097
   0.50618    -26.286948    -26.292097
   0.46400    -26.286947    -26.292096
   0.42182    -26.286947    -26.292096
   0.37964    -26.286946    -26.292096
   0.33746    -26.286945    -26.292096
   0.29527    -26.286944    -26.292095
   0.25309    -26.286945    -26.292095
   0.25309    -26.286945    -26.292095
   0.21091    -26.286944    -26.292094
   0.16873    -26.286945    -26.292095
   0.12655    -26.286946    -26.292096
   0.08436    -26.286948    -26.292099
   0.04218    -26.286949    -26.292100
   0.00000    -26.286950    -26.292101
 
# Band-Index    9
   0.00000    -26.228670    -26.225872
   0.04218    -26.228666    -26.225868
   0.08436    -26.228660    -26.225862
   0.12655    -26.228650    -26.225852
   0.16873    -26.228641    -26.225842
   0.21091    -26.228634    -26.225835
   0.25309    -26.228632    -26.225833
   0.25309    -26.228632    -26.225833
   0.29527    -26.228625    -26.225826
   0.33746    -26.228612    -26.225814
   0.37964    -26.228592    -26.225795
   0.42182    -26.228572    -26.225777
   0.46400    -26.228558    -26.225764
   0.50618    -26.228552    -26.225759
   0.50618    -26.228552    -26.225759
   0.55092    -26.228558    -26.225764
   0.59566    -26.228570    -26.225775
   0.64041    -26.228588    -26.225792
   0.68515    -26.228612    -26.225815
   0.72989    -26.228636    -26.225837
   0.77463    -26.228654    -26.225854
   0.81937    -26.228665    -26.225866
   0.86411    -26.228670    -26.225872
 
# Band-Index   10
   0.86411    -26.158130    -26.166044
   0.81937    -26.158137    -26.166050
   0.77463    -26.158148    -26.166062
   0.72989    -26.158164    -26.166077
   0.68515    -26.158185    -26.166097
   0.64041    -26.158206    -26.166117
   0.59566    -26.158222    -26.166132
   0.55092    -26.158232    -26.166142
   0.50618    -26.158239    -26.166147
   0.50618    -26.158239    -26.166147
   0.46400    -26.158239    -26.166147
   0.42182    -26.158240    -26.166148
   0.37964    -26.158241    -26.166149
   0.33746    -26.158242    -26.166150
   0.29527    -26.158243    -26.166151
   0.25309    -26.158244    -26.166152
   0.25309    -26.158244    -26.166152
   0.21091    -26.158234    -26.166142
   0.16873    -26.158215    -26.166124
   0.12655    -26.158186    -26.166097
   0.08436    -26.158158    -26.166071
   0.04218    -26.158139    -26.166053
   0.00000    -26.158130    -26.166044
 
# Band-Index   11
   0.00000    -26.152752    -26.150134
   0.04218    -26.152755    -26.150135
   0.08436    -26.152763    -26.150139
   0.12655    -26.152774    -26.150144
   0.16873    -26.152785    -26.150150
   0.21091    -26.152792    -26.150153
   0.25309    -26.152797    -26.150156
   0.25309    -26.152797    -26.150156
   0.29527    -26.152797    -26.150155
   0.33746    -26.152797    -26.150156
   0.37964    -26.152797    -26.150156
   0.42182    -26.152797    -26.150157
   0.46400    -26.152797    -26.150157
   0.50618    -26.152798    -26.150158
   0.50618    -26.152798    -26.150158
   0.55092    -26.152795    -26.150156
   0.59566    -26.152790    -26.150153
   0.64041    -26.152783    -26.150149
   0.68515    -26.152775    -26.150145
   0.72989    -26.152766    -26.150141
   0.77463    -26.152759    -26.150137
   0.81937    -26.152755    -26.150135
   0.86411    -26.152752    -26.150134
 
# Band-Index   12
   0.86411    -26.112338    -26.117071
   0.81937    -26.112337    -26.117071
   0.77463    -26.112337    -26.117071
   0.72989    -26.112338    -26.117072
   0.68515    -26.112338    -26.117072
   0.64041    -26.112338    -26.117072
   0.59566    -26.112339    -26.117073
   0.55092    -26.112339    -26.117073
   0.50618    -26.112340    -26.117074
   0.50618    -26.112340    -26.117074
   0.46400    -26.112340    -26.117074
   0.42182    -26.112340    -26.117074
   0.37964    -26.112340    -26.117074
   0.33746    -26.112340    -26.117074
   0.29527    -26.112340    -26.117074
   0.25309    -26.112341    -26.117074
   0.25309    -26.112341    -26.117074
   0.21091    -26.112340    -26.117073
   0.16873    -26.112340    -26.117073
   0.12655    -26.112339    -26.117072
   0.08436    -26.112338    -26.117072
   0.04218    -26.112337    -26.117071
   0.00000    -26.112338    -26.117071
 
# Band-Index   13
   0.00000    -26.090186    -26.096961
   0.04218    -26.090191    -26.096963
   0.08436    -26.090201    -26.096968
   0.12655    -26.090215    -26.096974
   0.16873    -26.090230    -26.096981
   0.21091    -26.090239    -26.096985
   0.25309    -26.090245    -26.096988
   0.25309    -26.090245    -26.096988
   0.29527    -26.090257    -26.096995
   0.33746    -26.090281    -26.097012
   0.37964    -26.090317    -26.097036
   0.42182    -26.090353    -26.097061
   0.46400    -26.090377    -26.097077
   0.50618    -26.090390    -26.097086
   0.50618    -26.090390    -26.097086
   0.55092    -26.090380    -26.097079
   0.59566    -26.090360    -26.097067
   0.64041    -26.090331    -26.097049
   0.68515    -26.090292    -26.097025
   0.72989    -26.090252    -26.097000
   0.77463    -26.090221    -26.096982
   0.81937    -26.090199    -26.096968
   0.86411    -26.090186    -26.096961
 
# Band-Index   14
   0.86411    -26.076365    -26.075815
   0.81937    -26.076359    -26.075813
   0.77463    -26.076354    -26.075815
   0.72989    -26.076350    -26.075819
   0.68515    -26.076348    -26.075827
   0.64041    -26.076347    -26.075835
